#,DBMS,Submitted,Classification,Link,,Brief Summary,SCOTT schema,,,TPC-H schema,,
,,,,,Notes,,Q1,Q2,time difference,Q1,Q2,time difference
11,CockroachDB,Yes,Pending,https://github.com/cockroachdb/cockroach/issues/73628,"The developers asked us to reproduce this issue on the latest version of the DBMS, so we just updated the report and are waiting for feedback.
",suboptimal behavior related to fraction number casting,"SELECT *
FROM emp
WHERE CAST(empno + 10 / 2 AS INTEGER) = 13","SELECT *
FROM emp
WHERE empno + 5 = 13",180.3,NA,NA,NA
12,CockroachDB,Yes,Pending,https://github.com/cockroachdb/cockroach/issues/73628,"The developers asked us to reproduce this issue on the latest version of the DBMS, so we just updated the report and are waiting for feedback.
",suboptimal behavior related to projection and filter,"SELECT ""emp5"".""comm"",
       ""emp5"".""hiredate"",
       ""emp5"".""mgr""
FROM ""emp"" AS ""emp5""
LEFT JOIN
  (SELECT 2541 AS ""deptno"",
          TRUE AS ""i""
   FROM ""dept""
   WHERE ""deptno"" = 2541) AS ""t20"" ON ""emp5"".""empno"" = ""t20"".""deptno""
WHERE ""emp5"".""empno"" <= 2801
  OR (""emp5"".""job"" LIKE 'Sales Repr'
      OR ""t20"".""i"" IS NULL)","SELECT ""emp3"".""comm"",
       ""emp3"".""hiredate"",
       ""emp3"".""mgr""
FROM ""emp"" AS ""emp3""
LEFT JOIN
  (SELECT ""deptno"",
          TRUE AS ""i""
   FROM ""dept""
   WHERE ""deptno"" = 2541) AS ""t14"" ON ""emp3"".""empno"" = ""t14"".""deptno""
WHERE ""emp3"".""empno"" <= 2801
  OR (""emp3"".""job"" LIKE 'Sales Repr'
      OR ""t14"".""i"" IS NULL)",3.1,NA,NA,NA
13,CockroachDB,Yes,Pending,https://github.com/cockroachdb/cockroach/issues/73628,"The developers asked us to reproduce this issue on the latest version of the DBMS, so we just updated the report and are waiting for feedback.
",suboptimal behavior related to EXIST,"SELECT ""ename"" AS ""bonus_ename""
   FROM ""bonus""
   WHERE ""sal"" = 432
     AND ""ename"" LIKE '%' || 'ue ' || '%'
     OR NOT EXISTS
       (SELECT ""deptno""
        FROM ""dept""
        WHERE ""name"" NOT LIKE 'JK1' FETCH NEXT 3 ROWS ONLY) FETCH NEXT 18 ROWS ONLY","SELECT ""bonus2"".""ename"" AS ""bonus_ename""
   FROM ""bonus"" AS ""bonus2""
   LEFT JOIN
     (SELECT ""i""
      FROM
        (SELECT TRUE AS ""i""
         FROM ""dept""
         WHERE NOT ""name"" LIKE 'JK1' FETCH NEXT 3 ROWS ONLY) AS ""t29""
      GROUP BY ""i"") AS ""t30"" ON TRUE
   WHERE ""bonus2"".""sal"" = 432
     AND ""bonus2"".""ename"" LIKE '%ue %'
     OR ""t30"".""i"" IS NULL FETCH NEXT 18 ROWS ONLY",2.1,NA,NA,NA
14,CockroachDB,Yes,Pending,https://github.com/cockroachdb/cockroach/issues/73628,"The developers asked us to reproduce this issue on the latest version of the DBMS, so we just updated the report and are waiting for feedback.
",suboptimal behavior related to the filter and JOIN operator,"SELECT ""bonus3"".""sal"",
       ""t20"".""deptno"" AS ""dept_deptno""
FROM   (SELECT *
        FROM   ""dept""
        WHERE  ""name"" = '04') AS ""t20""
       LEFT JOIN ""bonus"" AS ""bonus3""
              ON true
WHERE  ""bonus3"".""comm"" / 56 > 7
        OR ""bonus3"".""job"" LIKE '%'
                               || 'a'
                               || '%' ","SELECT ""bonus3"".""sal"",
       ""t20"".""deptno"" AS ""dept_deptno""
FROM   (SELECT *
        FROM   ""dept""
        WHERE  ""name"" = '04') AS ""t20""
       LEFT JOIN (SELECT *
                  FROM   ""bonus""
                  WHERE  ""comm"" / 56 > 7
                          OR ""job"" LIKE '%a%') AS bonus3
              ON true ",5.9,NA,NA,NA
15,CockroachDB,Yes,Pending,https://github.com/cockroachdb/cockroach/issues/73628,"The developers asked us to reproduce this issue on the latest version of the DBMS, so we just updated the report and are waiting for feedback.
",suboptimal behavior related to predicate,"SELECT count(d0.c_2454) AS c_2542
FROM
  (SELECT 'literal col string' AS c_2454
   FROM bonus
   WHERE (bonus.sal / 46) > 2783
     AND bonus.sal > 9679
     AND bonus.job NOT LIKE 'Finance Ma'
   GROUP BY bonus.job,
            bonus.job,
            bonus.ename,
            bonus.comm
   LIMIT 3) AS d0
WHERE d0.c_2454 LIKE 'dbwusle'","SELECT COUNT(*) AS ""c_2542""
FROM
  (SELECT *
   FROM (
         VALUES (NULL)) AS ""t"" (""c_2454"")
   WHERE 1 = 0) AS ""t6""",669.1,NA,NA,NA
16,CockroachDB,Yes,Pending,https://github.com/cockroachdb/cockroach/issues/73628,"The developers asked us to reproduce this issue on the latest version of the DBMS, so we just updated the report and are waiting for feedback.
",suboptimal behavior related to casting in predicate,"SELECT ""comm"",
       'literal col string' AS ""c_1497"",
       ""sal""
FROM ""bonus""
WHERE ""ename"" LIKE '%' || 'auran Batra'
  AND ""job"" LIKE 'Resear' || '%'
  OR (""comm"" + 32 = 64
      OR NOT EXISTS
        (SELECT *
         FROM ""dept""
         WHERE CAST(""deptno"" AS DECIMAL(11, 1)) = 5500.8
           AND ""deptno"" > 9571))","SELECT ""comm"",
       'literal col string' AS ""c_1497"",
       ""sal""
FROM   ""bonus""
WHERE  ""ename"" LIKE '%'
                    || 'auran Batra'
       AND ""job"" LIKE 'Resear'
                      || '%'
        OR ( ""comm"" + 32 = 64
              OR NOT EXISTS (SELECT *
                             FROM   ""dept""
                             WHERE  ""deptno"" = 5500.8
                                    AND ""deptno"" > 9571) ); ",4.1,NA,NA,NA
17,CockroachDB,Yes,Pending,https://github.com/cockroachdb/cockroach/issues/73628,"The developers asked us to reproduce this issue on the latest version of the DBMS, so we just updated the report and are waiting for feedback.
",suboptimal behavior related to the filter and JOIN operator,"SELECT    ""emp0"".""mgr"",
          ""t6"".""dept_deptno"",
          ""emp0"".""empno""
FROM      (
                 SELECT ""deptno"" AS ""dept_deptno""
                 FROM   ""dept""
                 WHERE  ""name"" LIKE '%I'
                 OR     ""name"" LIKE '04'FETCH next 19 rows only) AS ""t6""
LEFT JOIN ""emp""                           AS ""emp0""
ON        ""t6"".""dept_deptno"" >= ""emp0"".""empno""
WHERE     ""emp0"".""hiredate"" = timestamp '2012-04-03 00:00:00'
OR        ""emp0"".""ename"" LIKE ' Lue Mahula'","SELECT     ""emp0"".""mgr"",
           ""t6"".""dept_deptno"",
           ""emp0"".""empno""
FROM       (
                  SELECT ""deptno"" AS ""dept_deptno""
                  FROM   ""dept""
                  WHERE  ""name"" LIKE '%I'
                  OR     ""name"" LIKE '04'FETCH next 19 rows only) AS ""t6""
INNER JOIN
           (
                  SELECT *
                  FROM   ""emp""
                  WHERE  ""emp"".""hiredate"" = timestamp '2012-04-03 00:00:00'
                  OR     ""emp"".""ename"" LIKE ' Lue Mahula') AS ""emp0""
ON         ""t6"".""dept_deptno"" >= ""emp0"".""empno""",109.5,NA,NA,NA
18,CockroachDB,Yes,Pending,https://github.com/cockroachdb/cockroach/issues/73628,"The developers asked us to reproduce this issue on the latest version of the DBMS, so we just updated the report and are waiting for feedback.
",suboptimal behavior related to windowed function,"SELECT Min(CAST(""t28"".""ename"" AS VARCHAR(20)))
         OVER (
           PARTITION BY CAST(""t28"".""ename"" AS VARCHAR(20)) RANGE BETWEEN
         unbounded
         preceding AND unbounded following) AS ""c_2471""
FROM   (SELECT ""ename"",
               ""job"",
               ""comm""
        FROM   ""bonus""
        WHERE  ""comm"" * 26 > 32
                OR ( ""ename"" LIKE ' Orville Patnode'
                      OR NOT ""job"" LIKE 'Director o' )) AS ""t27"",
       (SELECT *
        FROM   ""bonus""
        WHERE  ""comm"" < 7
               AND ( ""sal"" + 432 = 864
                     AND ""sal"" / 68 / 9 <= 2783 )) AS ""t28"" ","SELECT Min(CAST(""t28"".""ename"" AS VARCHAR(20)))
         OVER (
           PARTITION BY CAST(""t28"".""ename"" AS VARCHAR(20)) RANGE BETWEEN
         unbounded
         preceding AND unbounded following) AS ""c_2471""
FROM   (SELECT ""comm""
        FROM   ""bonus""
        WHERE  ""comm"" * 26 > 32
                OR ( ""ename"" LIKE ' Orville Patnode'
                      OR NOT ""job"" LIKE 'Director o' )) AS ""t27"",
       (SELECT *
        FROM   ""bonus""
        WHERE  ""comm"" < 7
               AND ( ""sal"" + 432 = 864
                     AND ""sal"" / 68 / 9 <= 2783 )) AS ""t28"" ",3.6,NA,NA,NA
19,CockroachDB,Yes,Pending,https://github.com/cockroachdb/cockroach/issues/73628,"The developers asked us to reproduce this issue on the latest version of the DBMS, so we just updated the report and are waiting for feedback.
",suboptimal behavior related to projection and JOIN operator,"SELECT ""emp9"".""hiredate"",
       ""t59"".""dept_deptno""
FROM   (
              SELECT ""deptno"" AS ""dept_deptno""
              FROM   ""dept""
              WHERE  ""deptno"" = 4013FETCH next 17 rows only) AS ""t59"",
       ""emp""                           AS ""emp9""
WHERE  ""emp9"".""empno"" > ""t59"".""dept_deptno""
AND    (
              ""t59"".""dept_deptno"" + 12 >= 8640
       OR     ""emp9"".""hiredate"" > timestamp '2016-06-19 00:00:00') offset 19 rows FETCH next 18 rows only","SELECT ""emp9"".""hiredate"",
       ""t59"".""dept_deptno""
FROM   (
              SELECT ""deptno"" AS ""dept_deptno""
              FROM   ""dept""
              WHERE  ""deptno"" = 4013FETCH next 17 rows only) AS ""t59"",
       ""emp""                           AS ""emp9""
WHERE  ""emp9"".""empno"" > 4013
AND    (
              4013 + 12 >= 8640
       OR     ""emp9"".""hiredate"" > timestamp '2016-06-19 00:00:00') offset 19 rows FETCH next 18 rows only",1.9,NA,NA,NA
20,CockroachDB,Yes,Pending,https://github.com/cockroachdb/cockroach/issues/73628,"The developers asked us to reproduce this issue on the latest version of the DBMS, so we just updated the report and are waiting for feedback.
",suboptimal behavior related to the filter and JOIN operator,"SELECT ""t29"".""job"",
       ""t29"".""deptno"" AS ""dept_deptno"",
       ""t29"".""comm"",
       ""t29"".""ename"",
       ""t29"".""sal""
FROM
  (SELECT ""t25"".""deptno"",
          345 >= ""t25"".""deptno"" AS ""$f1"",
          ""t27"".""ename"",
          ""t27"".""job"",
          ""t27"".""sal"",
          ""t27"".""comm""
   FROM
     
        (SELECT *
         FROM
           (SELECT ""deptno""
            FROM ""dept"") AS ""t24""
         WHERE ""deptno"" + 89 <= 2541
           OR ""deptno"" / 9 / 26 <= 8640 and ""deptno"" - 56 <= 4013) AS ""t25""
   INNER JOIN
     (SELECT *
      FROM ""bonus""
      WHERE ""job"" LIKE 'Revenue Ma'
        AND ""sal"" = 432) AS ""t27"" ON 345 >= ""t25"".""deptno"" FETCH NEXT 8 ROWS ONLY) AS ""t29""","SELECT ""t29"".""job"",
       ""t29"".""deptno"" AS ""dept_deptno"",
       ""t29"".""comm"",
       ""t29"".""ename"",
       ""t29"".""sal""
FROM   (
                  SELECT     ""t25"".""deptno"",
                             ""t27"".""ename"",
                             ""t27"".""job"",
                             ""t27"".""sal"",
                             ""t27"".""comm""
                  FROM       (
                                    SELECT *
                                    FROM   (
                                                  SELECT ""deptno""
                                                  FROM   ""dept"") AS ""t24""
                                    WHERE  ""deptno"" + 89 <= 2541
                                    OR     ""deptno"" / 9 / 26 <= 8640
                                    AND    ""deptno"" - 56 <= 4013) AS ""t25""
                  INNER JOIN
                             (
                                    SELECT *
                                    FROM   ""bonus""
                                    WHERE  ""job"" LIKE 'Revenue Ma'
                                    AND    ""sal"" = 432) AS ""t27""
                  ON         ""t27"".sal - 87 >= ""t25"".""deptno"" FETCH next 8 rows only) AS ""t29""",3.4,NA,NA,NA
21,CockroachDB,Yes,Pending,https://github.com/cockroachdb/cockroach/issues/73628,"The developers asked us to reproduce this issue on the latest version of the DBMS, so we just updated the report and are waiting for feedback.
",suboptimal behavior related to projection and JOIN operator,"SELECT    ""t12"".""c_4741"", 
          ""dept1"".""name"" 
FROM      ( 
                 SELECT 2333 AS ""c_4741"" 
                 FROM   ""emp"" 
                 WHERE  ""empno"" * 79 < 1573.8 
                 OR     ( 
                               ""empno"" - 3 <= 2801 
                        OR     ""sal""   - 100 > 7049)) AS ""t12"" 
FULL JOIN ""dept""                                      AS ""dept1"" 
ON        ""dept1"".""deptno"" / 516 > ""t12"".""c_4741"" 
WHERE     ""dept1"".""deptno"" >= 4013FETCH next 13 rows only","SELECT    ""t12"".""c_4741"",
          ""dept1"".""name""
FROM      (
                 SELECT 2333 AS ""c_4741""
                 FROM   ""emp""
                 WHERE  ""empno"" * 79 < 1573.8
                 OR     (
                               ""empno"" - 3 <= 2801
                        OR     ""sal""   - 100 > 7049)) AS ""t12""
FULL JOIN
          (
                 SELECT ""deptno"",
                        ""name"",
                        ""deptno"" / 516 > 2333 AS ""$f2""
                 FROM   ""dept"") AS ""dept1""
ON        ""dept1"".""$f2""
WHERE     ""dept1"".""deptno"" >= 4013FETCH next 13 rows only",52.1,NA,NA,NA
22,CockroachDB,Yes,Pending,https://github.com/cockroachdb/cockroach/issues/73628,"The developers asked us to reproduce this issue on the latest version of the DBMS, so we just updated the report and are waiting for feedback.
",suboptimal behavior related to predicate,"SELECT dept.deptno
FROM   dept
WHERE  (
              dept.NAME LIKE '%'
                     || '2')
AND    dept.NAME IS NOT distinct
FROM   '04' limit 1;","SELECT ""deptno"",
          ""name""
   FROM (
         VALUES (NULL,
                 NULL,
                 NULL)) AS ""t"" (""deptno"",
                                ""name"",
                                ""$f0"")
   WHERE 1 = 0",8.9,NA,NA,NA
23,CockroachDB,Yes,Pending,https://github.com/cockroachdb/cockroach/issues/73628,"The developers asked us to reproduce this issue on the latest version of the DBMS, so we just updated the report and are waiting for feedback.
",suboptimal behavior related to projection and JOIN operator,"SELECT ""hiredate""
FROM
  (SELECT 
          ""t24"".""CAST4"" AS ""hiredate"",
          ""t24"".""CAST7"" AS ""deptno"",
          ""bonus4"".""job"" AS ""job0""
   FROM
     (SELECT ""mgr"",
             CAST(""hiredate"" AS TIMESTAMP(0)) AS ""CAST4"",
             CAST(""deptno"" AS INTEGER) AS ""CAST7"",
             CAST(""slacker"" AS BOOLEAN) AS ""CAST8""
      FROM ""emp""
      WHERE ""ename"" LIKE '%nnama%') AS ""t24""
   LEFT JOIN ""bonus"" AS ""bonus4"" ON TRUE) AS ""t25""
WHERE ""t25"".""job0"" LIKE '%o'
  OR ""t25"".""deptno"" - 100 < 8640 FETCH NEXT 4 ROWS ONLY","SELECT ""hiredate""
FROM   (
                 SELECT    Cast(""t2"".""hiredate"" AS TIMESTAMP(0)) AS ""hiredate"",
                           Cast(""t2"".""deptno"" AS INTEGER)        AS ""deptno"",
                           ""bonus0"".""job""                        AS ""job0""
                 FROM      (
                                  SELECT *
                                  FROM   ""emp""
                                  WHERE  ""ename"" LIKE '%nnama%') AS ""t2""
                 LEFT JOIN ""bonus""                               AS ""bonus0""
                 ON        true) AS ""t3""
WHERE  ""t3"".""job0"" LIKE '%o'
OR     ""t3"".""deptno"" - 100 < 8640 FETCH next 4 rows only",2.2,NA,NA,NA
24,CockroachDB,Yes,Pending,https://github.com/cockroachdb/cockroach/issues/73628,"The developers asked us to reproduce this issue on the latest version of the DBMS, so we just updated the report and are waiting for feedback.
",suboptimal behavior related to the SET and JOIN operator,"SELECT *
FROM
  (SELECT ""bonus_ename""
   FROM
     (SELECT ""ename"" AS ""bonus_ename""
      FROM ""bonus""
      WHERE ""ename"" IS NULL
        AND ' Lauran Batra' IS NULL
        OR ""ename"" = ' Lauran Batra') AS ""t80""
   WHERE ""bonus_ename"" LIKE ' Melva Shelko'
   GROUP BY ""bonus_ename""
   UNION ALL SELECT ""name""
   FROM ""dept""
   WHERE ""name"" IS NULL
     AND 'JK1' IS NULL
     OR (""name"" = 'JK1'
         OR ""deptno"" <= 9571)
   GROUP BY ""name"" FETCH NEXT 14 ROWS ONLY) AS ""t87""
WHERE NOT ""bonus_ename"" LIKE ' Orville Patnode'","SELECT *
FROM
  (SELECT *
   FROM
     (SELECT ""ename"" AS ""bonus_ename""
      FROM ""bonus""
      WHERE ""ename"" IS NULL
        AND ' Lauran Batra' IS NULL
        OR ""ename"" = ' Lauran Batra'
      GROUP BY ""ename"") AS ""t21""
   WHERE ""bonus_ename"" LIKE ' Melva Shelko'
   UNION ALL SELECT ""name""
   FROM ""dept""
   WHERE ""name"" IS NULL
     AND 'JK1' IS NULL
     OR (""name"" = 'JK1'
         OR ""deptno"" <= 9571)
   GROUP BY ""name"" FETCH NEXT 14 ROWS ONLY) AS ""t27""
WHERE NOT ""bonus_ename"" LIKE ' Orville Patnode'",2.6,NA,NA,NA
